userid,key,summary,agent1,agent2,selection,worstAgent,betterAgent,value,time,comparisonType
98b3eaef,confidence,maxdiv,2000,400,400,400,2000,6,1.50818E+12,2
adf3ecbe,confidence,maxdiv,2000,400,2000,400,2000,5,1.50818E+12,2
36e3e9b0,confidence,max,2000,400,2000,400,2000,7,1.50818E+12,2
c5a3e9ad,confidence,random,2000,400,400,400,2000,1,1.50818E+12,2
98b3eaef,confidence,max,400,2000,400,400,2000,6,1.50818E+12,2
ccf3ec93,confidence,max,400,200,400,200,400,7,1.50818E+12,1
c5a3ea5b,confidence,maxdiv,2000,400,2000,400,2000,5,1.50818E+12,2
adf3ecbe,confidence,max,400,2000,2000,400,2000,6,1.50818E+12,2
36e3e9b0,confidence,maxdiv,200,2000,2000,200,2000,7,1.50818E+12,3
49f3ea04,confidence,max,200,400,400,200,400,5,1.50818E+12,1
98b3eaef,confidence,random,400,2000,400,400,2000,7,1.50818E+12,2
c5a3e9ad,confidence,max,200,2000,2000,200,2000,5,1.50818E+12,3
adf3ecbe,confidence,random,200,2000,200,200,2000,5,1.50818E+12,3
36e3e9b0,confidence,max,200,400,400,200,400,5,1.50818E+12,1
ccf3ec93,confidence,maxdiv,2000,400,400,400,2000,5,1.50818E+12,2
c5a3ea5b,confidence,random,400,200,200,200,400,5,1.50818E+12,1
98b3eaef,confidence,max,200,2000,200,200,2000,6,1.50818E+12,3
27c3eced,confidence,max,400,200,200,200,400,5,1.50818E+12,1
a4e3ed86,confidence,maxdiv,200,400,200,200,400,5,1.50818E+12,1
a4e3ed86,confidence,max,2000,400,2000,400,2000,6,1.50818E+12,2
8fd3ed6a,confidence,random,2000,400,400,400,2000,5,1.50818E+12,2
36e3e9b0,confidence,max,200,2000,2000,200,2000,7,1.50818E+12,3
a4e3ed86,confidence,maxdiv,400,2000,400,400,2000,6,1.50818E+12,2
adf3ecbe,confidence,random,400,2000,400,400,2000,7,1.50818E+12,2
a4e3ed86,confidence,max,400,200,400,200,400,4,1.50818E+12,1
49f3ea04,confidence,random,400,200,400,200,400,7,1.50818E+12,1
a4e3ed86,confidence,maxdiv,2000,200,2000,200,2000,6,1.50818E+12,3
c5a3e9ad,confidence,maxdiv,200,400,400,200,400,5,1.50818E+12,1
a4e3ed86,confidence,random,200,2000,200,200,2000,6,1.50818E+12,3
ccf3ec93,confidence,maxdiv,200,2000,200,200,2000,6,1.50818E+12,3
a4e3ed86,confidence,random,400,200,400,200,400,5,1.50818E+12,1
27c3eced,confidence,maxdiv,2000,400,2000,400,2000,6,1.50818E+12,2
a4e3ed86,confidence,max,200,2000,200,200,2000,5,1.50818E+12,3
a4e3ed86,confidence,random,400,2000,400,400,2000,6,1.50818E+12,2
adf3ecbe,confidence,max,2000,200,2000,200,2000,6,1.50818E+12,3
c5a3ea5b,confidence,max,2000,200,2000,200,2000,5,1.50818E+12,3
ccf3ec93,confidence,max,2000,400,2000,400,2000,6,1.50818E+12,2
8fd3ed6a,confidence,maxdiv,200,2000,2000,200,2000,5,1.50818E+12,3
adf3ecbe,confidence,maxdiv,400,200,400,200,400,7,1.50818E+12,1
84c3ee94,confidence,random,400,200,200,200,400,7,1.50818E+12,1
49f3ea04,confidence,maxdiv,2000,200,2000,200,2000,7,1.50818E+12,3
c5a3e9ad,confidence,maxdiv,2000,200,2000,200,2000,7,1.50818E+12,3
84c3ee94,confidence,max,2000,400,2000,400,2000,7,1.50818E+12,2
27c3eced,confidence,random,400,200,200,200,400,6,1.50818E+12,1
adf3ecbe,confidence,maxdiv,200,2000,2000,200,2000,7,1.50818E+12,3
8fd3ed6a,confidence,random,200,2000,200,200,2000,5,1.50818E+12,3
84c3ee94,confidence,random,200,2000,2000,200,2000,5,1.50818E+12,3
ccf3ec93,confidence,random,2000,400,2000,400,2000,6,1.50818E+12,2
49f3ea04,confidence,random,200,2000,200,200,2000,6,1.50818E+12,3
c5a3ea5b,confidence,max,2000,400,2000,400,2000,5,1.50818E+12,2
adf3ecbe,confidence,random,200,400,200,200,400,5,1.50818E+12,1
c5a3e9ad,confidence,maxdiv,400,2000,2000,400,2000,5,1.50818E+12,2
27c3eced,confidence,maxdiv,400,200,400,200,400,5,1.50818E+12,1
