userid,key,agent,summary1,summary2,value,time,valueNormalized,comparisonType
8bc969c1,preference,200,max,random,6,1.50755E+12,2,vsRand
17a96a1b,preference,200,max,first,5,1.50755E+12,3,vsFirst
1cd9645b,preference,200,max,random,7,1.50755E+12,1,vsRand
8bc969c1,preference,2000,max,first,3,1.50755E+12,5,vsFirst
1cd9645b,preference,2000,random,max,7,1.50755E+12,7,vsRand
1bc969c5,preference,200,max,random,4,1.50755E+12,4,vsRand
1bc969c5,preference,2000,first,max,7,1.50755E+12,7,vsFirst
b7a96597,preference,200,max,first,4,1.50755E+12,4,vsFirst
b7a96597,preference,2000,max,first,1,1.50755E+12,7,vsFirst
b7a96597,preference,2000,max,random,1,1.50755E+12,7,vsRand
b7a96597,preference,200,random,max,7,1.50755E+12,7,vsRand
1bc969c5,preference,200,first,max,1,1.50755E+12,1,vsFirst
1bc969c5,preference,2000,random,max,2,1.50755E+12,2,vsRand
49e96e1f,preference,200,max,first,7,1.50755E+12,1,vsFirst
49e96e1f,preference,200,random,max,2,1.50755E+12,2,vsRand
49e96e1f,preference,2000,max,random,3,1.50755E+12,5,vsRand
49e96e1f,preference,2000,first,max,6,1.50755E+12,6,vsFirst
a9e968c1,preference,2000,max,first,2,1.50755E+12,6,vsFirst
a9e968c1,preference,200,max,first,2,1.50755E+12,6,vsFirst
a9e968c1,preference,2000,max,random,2,1.50755E+12,6,vsRand
a9e968c1,preference,200,max,random,2,1.50755E+12,6,vsRand
51d94ae2,preference,200,max,first,5,1.50754E+12,3,vsFirst
51d94ae2,preference,2000,max,first,1,1.50754E+12,7,vsFirst
51d94ae2,preference,2000,max,random,1,1.50754E+12,7,vsRand
51d94ae2,preference,200,random,max,4,1.50754E+12,4,vsRand
f3a94ab5,preference,2000,max,first,2,1.50754E+12,6,vsFirst
f3a94ab5,preference,2000,max,random,4,1.50754E+12,4,vsRand
f3a94ab5,preference,200,max,first,4,1.50754E+12,4,vsFirst
f3a94ab5,preference,200,random,max,3,1.50754E+12,3,vsRand
52f94b1f,preference,2000,max,first,1,1.50755E+12,7,vsFirst
52f94b1f,preference,2000,max,random,3,1.50755E+12,5,vsRand
52f94b1f,preference,200,max,random,6,1.50755E+12,2,vsRand
a5f94f40,preference,200,first,max,3,1.50755E+12,3,vsFirst
52f94b1f,preference,200,first,max,7,1.50755E+12,7,vsFirst
a5f94f40,preference,2000,max,first,3,1.50755E+12,5,vsFirst
a5f94f40,preference,200,random,max,3,1.50755E+12,3,vsRand
a5f94f40,preference,2000,max,random,2,1.50755E+12,6,vsRand
